method,rank,query_track_id,query_artist,query_song,query_genre,match_track_id,match_artist,match_song,match_genre,score
raw dot product,1,TRVYEUW128F148C08D,Michael Jackson,All The Things You Are,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,3570.0
raw dot product,2,TRVYEUW128F148C08D,Michael Jackson,All The Things You Are,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2865.0
raw dot product,3,TRVYEUW128F148C08D,Michael Jackson,All The Things You Are,blues,TRVDAHO128F92F231E,Katy Perry,Hot N Cold (Innerpartysystem Main),electronic,2436.0
raw dot product,1,TRCXKPC128F92FD04C,John Mayer,Vultures,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3132.0
raw dot product,2,TRCXKPC128F92FD04C,John Mayer,Vultures,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,3012.0
raw dot product,3,TRCXKPC128F92FD04C,John Mayer,Vultures,blues,TROIJDA128F9341E70,R. Kelly,I Mean (I Don't Mean It),r&b/soul,2988.0
raw dot product,1,TRMMALW128F92FD049,John Mayer,Out Of My Mind,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,4597.0
raw dot product,2,TRMMALW128F92FD049,John Mayer,Out Of My Mind,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3722.0
raw dot product,3,TRMMALW128F92FD049,John Mayer,Out Of My Mind,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,3671.0
raw dot product,1,TRJWAJC128F9327C4F,R. Kelly,Hump Bounce,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,5557.0
raw dot product,2,TRJWAJC128F9327C4F,R. Kelly,Hump Bounce,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4567.0
raw dot product,3,TRJWAJC128F9327C4F,R. Kelly,Hump Bounce,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,4088.0
raw dot product,1,TRPEBTH128F9327C4D,R. Kelly,Intro - The Sermon,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,6673.0
raw dot product,2,TRPEBTH128F9327C4D,R. Kelly,Intro - The Sermon,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5569.0
raw dot product,3,TRPEBTH128F9327C4D,R. Kelly,Intro - The Sermon,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,5237.0
raw dot product,1,TRNWHUD128F932E304,Michael Jackson,Call On Me,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,8789.0
raw dot product,2,TRNWHUD128F932E304,Michael Jackson,Call On Me,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,7434.0
raw dot product,3,TRNWHUD128F932E304,Michael Jackson,Call On Me,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,7016.0
raw dot product,1,TRFGGSX128F427A723,The Black Keys,Oceans and Streams,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2328.0
raw dot product,2,TRFGGSX128F427A723,The Black Keys,Oceans and Streams,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2215.0
raw dot product,3,TRFGGSX128F427A723,The Black Keys,Oceans and Streams,blues,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,1918.0
raw dot product,1,TRPTCMZ128F9340B09,The Black Keys,10 A.M. Automatic,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1913.0
raw dot product,2,TRPTCMZ128F9340B09,The Black Keys,10 A.M. Automatic,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1790.0
raw dot product,3,TRPTCMZ128F9340B09,The Black Keys,10 A.M. Automatic,blues,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1585.0
raw dot product,1,TRVKLGW12903CB4523,The Black Keys,Aeroplane Blues,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1486.0
raw dot product,2,TRVKLGW12903CB4523,The Black Keys,Aeroplane Blues,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1480.0
raw dot product,3,TRVKLGW12903CB4523,The Black Keys,Aeroplane Blues,blues,TROIJDA128F9341E70,R. Kelly,I Mean (I Don't Mean It),r&b/soul,1471.0
raw dot product,1,TRFBNZN128F9340B0E,The Black Keys,All Hands Against His Own,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2681.0
raw dot product,2,TRFBNZN128F9340B0E,The Black Keys,All Hands Against His Own,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1936.0
raw dot product,3,TRFBNZN128F9340B0E,The Black Keys,All Hands Against His Own,blues,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1542.0
raw dot product,1,TRBYDKJ12903CA9D33,The Black Keys,Black Door,blues,TRVJCDB128F4263466,Kandi,I Wanna Know,r&b/soul,1868.0
raw dot product,2,TRBYDKJ12903CA9D33,The Black Keys,Black Door,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1536.0
raw dot product,3,TRBYDKJ12903CA9D33,The Black Keys,Black Door,blues,TRKLJAG128F42B31CF,Mario Vazquez,Everytime I...,r&b/soul,1227.0
raw dot product,1,TRWJKJK128F9338FEF,The Black Keys,Busted,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,8737.0
raw dot product,2,TRWJKJK128F9338FEF,The Black Keys,Busted,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,8094.0
raw dot product,3,TRWJKJK128F9338FEF,The Black Keys,Busted,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,6661.0
raw dot product,1,TRUULBP12903CA9D23,The Black Keys,Give Your Heart Away,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1215.0
raw dot product,2,TRUULBP12903CA9D23,The Black Keys,Give Your Heart Away,blues,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1196.0
raw dot product,3,TRUULBP12903CA9D23,The Black Keys,Give Your Heart Away,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1055.0
raw dot product,1,TRYYJHJ128F9340B19,The Black Keys,Grown So Ugly,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1853.0
raw dot product,2,TRYYJHJ128F9340B19,The Black Keys,Grown So Ugly,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1496.0
raw dot product,3,TRYYJHJ128F9340B19,The Black Keys,Grown So Ugly,blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,1283.0
raw dot product,1,TRHHJCL12903CB44B7,The Black Keys,Hard Row,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2371.0
raw dot product,2,TRHHJCL12903CB44B7,The Black Keys,Hard Row,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2137.0
raw dot product,3,TRHHJCL12903CB44B7,The Black Keys,Hard Row,blues,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1713.0
raw dot product,1,TRWZXDS128F427A71B,The Black Keys,I Got Mine,blues,TRKLJAG128F42B31CF,Mario Vazquez,Everytime I...,r&b/soul,2429.0
raw dot product,2,TRWZXDS128F427A71B,The Black Keys,I Got Mine,blues,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,2295.0
raw dot product,3,TRWZXDS128F427A71B,The Black Keys,I Got Mine,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,2292.0
raw dot product,1,TRZDLWE12903CB44DE,The Black Keys,If You See Me,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2415.0
raw dot product,2,TRZDLWE12903CB44DE,The Black Keys,If You See Me,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2268.0
raw dot product,3,TRZDLWE12903CB44DE,The Black Keys,If You See Me,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,2044.0
raw dot product,1,TRNZQVO128F427A71E,The Black Keys,Lies,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1825.0
raw dot product,2,TRNZQVO128F427A71E,The Black Keys,Lies,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1532.0
raw dot product,3,TRNZQVO128F427A71E,The Black Keys,Lies,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1506.0
raw dot product,1,TRAECHJ12903CC36DA,The Black Keys,Next Girl,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2459.0
raw dot product,2,TRAECHJ12903CC36DA,The Black Keys,Next Girl,blues,TRPBLTG128F933924A,Calvin Harris,The Girls,electronic,2248.0
raw dot product,3,TRAECHJ12903CC36DA,The Black Keys,Next Girl,blues,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,2121.0
raw dot product,1,TRRVSIN128F9338FD5,The Black Keys,No Fun,blues,TRFFSMS128F428BC88,Enrique Iglesias,Miss You,latin,1584.0
raw dot product,2,TRRVSIN128F9338FD5,The Black Keys,No Fun,blues,TRLUGVB128F428E704,Tracey Ullman,Breakaway,pop,1418.0
raw dot product,3,TRRVSIN128F9338FD5,The Black Keys,No Fun,blues,TRYAWRN128F42792CB,Janis Joplin,Kozmic Blues,blues,1222.0
raw dot product,1,TRYMMVG128F9340B1B,The Black Keys,Stack Shot Billy,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,655.0
raw dot product,2,TRYMMVG128F9340B1B,The Black Keys,Stack Shot Billy,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,542.0
raw dot product,3,TRYMMVG128F9340B1B,The Black Keys,Stack Shot Billy,blues,TRFLWJZ128F425C9E4,The Pharcyde,Otha Fish,hip hop,529.0
raw dot product,1,TRKSEEY12903CCD312,The Black Keys,Ten Cent Pistol,blues,TRXJTJZ128F4295464,The Corrs,Queen Of Hollywood ( LP Version ),pop,902.0
raw dot product,2,TRKSEEY12903CCD312,The Black Keys,Ten Cent Pistol,blues,TRYCBLK12903CE6A0E,Twiztid,She Ain't Afraid,hip hop,889.0
raw dot product,3,TRKSEEY12903CCD312,The Black Keys,Ten Cent Pistol,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,799.0
raw dot product,1,TRFOGQC12903CA9D2E,The Black Keys,The Flame,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2219.0
raw dot product,2,TRFOGQC12903CA9D2E,The Black Keys,The Flame,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1494.0
raw dot product,3,TRFOGQC12903CA9D2E,The Black Keys,The Flame,blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,1236.0
raw dot product,1,TREVCQU12903CCD318,The Black Keys,These Days,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2558.0
